"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCDC184",0.929949943300515,4.17695450715481,7.02804032036387,3.09087975445713e-09,4.97137099706885e-05,3.61935664283935
"BMERB1",0.424212230130463,5.5419352672545,4.11253803076713,0.000129209443497485,0.692075658418863,-1.06014397686048
"PLTP",-0.566896691261923,4.28145643796844,-3.95266602354113,0.000218802409896873,0.692075658418863,-1.31107092929057
"CTSO",-0.848722131807278,2.72901899546321,-3.92085709129412,0.000242697607796831,0.692075658418863,-1.36059922496036
"MAZ",-0.41037590729235,7.46070014446987,-3.89112758177173,0.000267288991658816,0.692075658418863,-1.40676178540729
"COL3A1",-0.600464420713118,3.90319365802042,-3.88631801126999,0.000271486260847276,0.692075658418863,-1.4142179978853
"RND1",-0.748183795033574,2.30420019892011,-3.79408343301304,0.000365373366544192,0.692075658418863,-1.55654413359646
"C4orf46",0.440449028998794,7.0764568633079,3.77712067124925,0.000385740548337655,0.692075658418863,-1.58257712201393
"C2orf68",-0.482461588090645,2.97430381749912,-3.77498658415511,0.000388378805112412,0.692075658418863,-1.58584910889495
"FN1",-0.743716085635129,4.03759267113711,-3.74283093801488,0.000430288273078129,0.692075658418863,-1.63506165486092
"COL12A1",-0.454236222768006,3.55292391905119,-3.62207261196699,0.000629779370084318,0.75459742169929,-1.81832824820409
"C4B",-0.493122965671419,4.68364999576712,-3.61293499038861,0.000648029052951526,0.75459742169929,-1.83209192709665
"MGAT1",-0.421422013970632,4.38620692926484,-3.60208466461806,0.000670355323480357,0.75459742169929,-1.84841571607395
"SLC22A4",-0.4159101696682,3.16784175332531,-3.58720398696169,0.000702171253777748,0.75459742169929,-1.87076792801321
"C7",-0.508598380852102,6.23631396934142,-3.57836288965421,0.000721751028310715,0.75459742169929,-1.88402874475527
"TINAGL1",-0.403918728017498,5.82510452313797,-3.50398955067617,0.000908365805784124,0.75459742169929,-1.99499629790884
"ZNF208",-0.602409404004626,3.01187020736519,-3.47805175324933,0.000983634721900795,0.75459742169929,-2.03344362367448
"SLC41A1",0.452583562367411,3.86089151178082,3.47641670778745,0.000988572934960492,0.75459742169929,-2.03586274754115
"CPSF1",0.378170910029973,4.35945511290694,3.42182172721703,0.00116766302897157,0.75459742169929,-2.11632703476933
"HOXA5",-0.672071385133906,2.2769611628998,-3.40215445884145,0.00123941493093926,0.75459742169929,-2.14516265354483
"DUS1L",-0.422625354370013,4.01278984693207,-3.38563723909029,0.00130288468581291,0.75459742169929,-2.16931676564188
"KLRF1",0.521474360704165,3.20820619962864,3.36803253855757,0.00137391795558784,0.75459742169929,-2.19499708830041
"TMEM218",0.387407900819228,3.87267334763612,3.36381920631175,0.00139145418491318,0.75459742169929,-2.20113326930446
