gene	disease3_scan | 001 | PanCK	disease3_scan | 001 | neg
PADI2	6.012910279	8.618504734
CYP24A1	9.219795762	7.879775757
SUPT16H	14.03012399	16.2520375
ZMIZ2	20.44389495	19.94568238
SPAG9	19.24131289	16.00579451
AMELX	8.418074391	7.387289772
VPS33B	17.63787015	13.54336458
DDX58	11.62495987	11.81966364
CDV3	22.04733769	19.69943939
RO60	14.83184536	13.29712159
UBE2Q1	14.43098467	15.51330852
VEGFB	18.84045221	17.48325246
METAP1D	11.62495987	10.58844867
HCFC1	9.219795762	6.15607481
ADIPOQ	13.22840261	16.74452348
OPN1SW	14.83184536	18.96071041
PALM2AKAP2	13.6292633	13.78960757
PAQR8	13.6292633	14.28209356
MT1E	22.44819838	19.69943939
SH2B3	12.42668124	10.09596269
NRDE2	18.43959152	15.02082254
CYP2C9	11.22409919	14.03585057
UBTD1	17.63787015	14.52833655
B3GAT2	7.616353021	16.2520375
CDK2AP2	32.46971551	34.22777594
AGAP3	12.02582056	15.75955151
MROH6	7.215492335	8.864747726
STRIT1	10.42237782	13.29712159
FGGY	18.43959152	19.4531964
CLRN3	8.017213706	14.52833655
PUM3	15.23270604	15.51330852
NFKBIL1	11.22409919	16.2520375
MRPS30	9.620656447	14.03585057
RNF25	12.82754193	11.57342064
RHBDD2	26.45680523	20.93065435
KCTD6	16.4352881	18.96071041
SCN1A	11.22409919	11.81966364
GINS1	12.42668124	12.8046356
TAS2R46	12.42668124	11.08093466
HARBI1	11.62495987	11.57342064
RFC2	22.04733769	17.23700947
TRIM56	16.03442741	19.69943939
FKBP1B	19.64217358	17.72949545
SHLD2	15.23270604	17.97573845
ERAP1	16.4352881	20.19192538
TAF9	11.62495987	14.52833655
MUC20	60.52996348	32.504075
DSE	8.818935077	11.08093466
S100A5	11.62495987	12.31214962
USP28	14.43098467	16.99076648
SOWAHA	14.83184536	16.99076648
CXCR4	22.44819838	27.33297216
NT5C3A	16.03442741	18.46822443
TDRD10	13.6292633	13.29712159
SPINK5	10.02151713	15.26706553
TSTD3	6.81463165	12.31214962
EXT1	16.4352881	20.93065435
CDK5	12.82754193	14.28209356
ACTR5	12.42668124	16.49828049
