gene	disease3_scan | 007 | Geometric Segment	disease3_scan | 008 | Geometric Segment	disease3_scan | 009 | Geometric Segment	disease3_scan | 010 | Geometric Segment
PADI2	5.560325635	4.104049873	7.660893097	8.618504734
CYP24A1	5.560325635	6.566479797	6.70328146	7.182087278
SUPT16H	17.79304203	19.69943939	17.23700947	19.39163565
ZMIZ2	24.46543279	22.98267929	19.15223274	22.98267929
SPAG9	21.68526998	18.05781944	21.06745602	20.10984438
AMELX	4.448260508	6.566479797	9.576116371	7.900296006
VPS33B	12.78874896	14.77457954	19.15223274	15.08238328
DDX58	18.34907459	17.23700947	13.40656292	17.9552182
CDV3	25.57749792	30.36996906	33.5164073	15.08238328
RO60	12.78874896	12.31214962	12.44895128	19.39163565
UBE2Q1	17.23700947	20.52024937	10.53372801	17.9552182
VEGFB	15.01287921	19.69943939	19.15223274	20.82805311
METAP1D	11.67668383	5.745669823	12.44895128	9.336713462
HCFC1	7.784455889	9.849719696	12.44895128	8.618504734
ADIPOQ	12.2327164	13.13295959	6.70328146	5.745669823
OPN1SW	13.90081409	13.13295959	8.618504734	8.618504734
PALM2AKAP2	23.35336767	15.59538952	28.72834911	26.57372293
PAQR8	13.34478152	7.387289772	9.576116371	15.80059201
MT1E	18.90510716	24.62429924	35.43163057	29.44655784
SH2B3	15.56891178	13.95376957	22.02506765	19.39163565
NRDE2	13.34478152	9.849719696	13.40656292	16.51880074
CYP2C9	10.56461871	7.387289772	14.36417456	5.745669823
UBTD1	17.23700947	14.77457954	6.70328146	14.36417456
B3GAT2	10.56461871	7.387289772	8.618504734	7.900296006
CDK2AP2	40.03434457	36.93644886	40.21968876	22.26447056
AGAP3	9.452553579	9.028909721	19.15223274	22.26447056
MROH6	8.340488452	9.028909721	12.44895128	2.872834911
STRIT1	9.452553579	12.31214962	9.576116371	8.618504734
FGGY	10.00858614	15.59538952	8.618504734	13.64596583
CLRN3	11.12065127	18.05781944	11.49133965	9.336713462
PUM3	15.56891178	16.41619949	21.06745602	12.20954837
NFKBIL1	13.34478152	9.849719696	10.53372801	8.618504734
MRPS30	9.452553579	13.13295959	11.49133965	14.36417456
RNF25	10.00858614	11.49133965	11.49133965	7.900296006
RHBDD2	22.7973351	19.69943939	19.15223274	23.70088802
KCTD6	11.12065127	8.208099747	8.618504734	10.77313092
SCN1A	7.228423325	11.49133965	14.36417456	7.182087278
GINS1	8.896521016	7.387289772	7.660893097	15.80059201
TAS2R46	9.452553579	8.208099747	12.44895128	6.46387855
HARBI1	8.340488452	6.566479797	7.660893097	3.591043639
RFC2	10.00858614	8.208099747	14.36417456	13.64596583
TRIM56	19.46113972	15.59538952	23.94029093	19.39163565
FKBP1B	10.00858614	18.87862942	22.02506765	15.80059201
SHLD2	15.01287921	13.95376957	11.49133965	18.67342692
ERAP1	17.23700947	23.80348927	22.98267929	25.13730547
TAF9	17.79304203	18.05781944	12.44895128	7.900296006
MUC20	26.13353048	27.08672916	23.94029093	18.67342692
DSE	15.01287921	7.387289772	10.53372801	10.05492219
